,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BHEL,EQ,N,31.7,29.05,31.1,29.55,29.65,30.6,23026620,705579304.1,78.85,29.05,31562,INE257A01026,2020-03-02,30.64
996,BHEL,EQ,N,31.35,29.85,30.0,31.0,31.1,29.55,20595361,627475746.55,78.85,29.05,35403,INE257A01026,2020-03-03,30.47
1000,BHEL,EQ,N,31.2,29.85,31.1,30.65,30.6,31.0,18105957,551716810.0,78.85,29.05,24329,INE257A01026,2020-03-04,30.47
1007,BHEL,EQ,N,31.4,29.95,30.9,30.7,30.6,30.65,20609801,632193349.85,78.85,29.05,25866,INE257A01026,2020-03-05,30.67
1008,BHEL,EQ,N,29.7,28.95,29.7,29.55,29.4,30.7,16052493,471007683.7,78.85,28.95,24973,INE257A01026,2020-03-06,29.34
1009,BHEL,EQ,N,28.85,27.05,28.8,27.2,27.1,29.55,21890476,611203828.95,78.85,27.05,32993,INE257A01026,2020-03-09,27.92
1010,BHEL,EQ,N,28.7,27.2,27.45,27.55,27.2,27.2,30448290,849706064.25,78.85,27.05,37160,INE257A01026,2020-03-11,27.91
1011,BHEL,EQ,N,26.6,24.0,26.0,24.15,24.15,27.55,35583365,880792703.9,78.85,24.0,47217,INE257A01026,2020-03-12,24.75
1012,BHEL,EQ,N,26.4,18.4,22.2,25.95,26.2,24.15,39258484,935745149.25,78.85,18.4,63441,INE257A01026,2020-03-13,23.84
1013,BHEL,EQ,N,25.75,23.3,24.35,23.7,23.8,25.95,26302824,644369902.4,78.85,18.4,44771,INE257A01026,2020-03-16,24.5
